Vegetable,Form,RetailPrice,RetailPriceUnit,Yield,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice,Year
Acorn squash,Fresh,1.17,per pound,0.4586,0.4519,pounds,1.16,2013
Artichoke,Fresh,2.21,per pound,0.375,0.3858,pounds,2.27,2013
Artichoke,Canned,3.39,per pound,0.65,0.3858,pounds,2.01,2013
Asparagus,Fresh,3.21,per pound,0.4938,0.3968,pounds,2.58,2013
Asparagus,Canned,2.58,per pound,0.65,0.3968,pounds,1.58,2013
Asparagus,Frozen,5.86,per pound,1.0335,0.3968,pounds,2.25,2013
Avocados,Fresh,2.24,per pound,0.7408,0.3197,pounds,0.96,2013
Beets,Canned,1.02,per pound,0.65,0.3748,pounds,0.59,2013
Black beans,Canned,0.98,per pound,0.65,0.3858,pounds,0.58,2013
Black beans,Dried,1.49,per pound,2.4692,0.3858,pounds,0.25,2013
Blackeye peas,Canned,0.91,per pound,0.65,0.3748,pounds,0.52,2013
Blackeye peas,Dried,1.59,per pound,2.61,0.3858,pounds,0.23,2013
Broccoli florets,Fresh,2.57,per pound,1,0.3417,pounds,0.88,2013
Broccoli heads,Fresh,1.64,per pound,0.78,0.3417,pounds,0.72,2013
Broccoli,Frozen,1.87,per pound,0.8818,0.3417,pounds,0.72,2013
Brussels sprouts,Fresh,2.76,per pound,1.06,0.3417,pounds,0.89,2013
Brussels sprouts,Frozen,2.14,per pound,0.96,0.3417,pounds,0.76,2013
Butternut squash,Fresh,1.24,per pound,0.714,0.4519,pounds,0.79,2013
"Cabbage, green",Fresh,0.58,per pound,0.7788,0.3307,pounds,0.25,2013
"Cabbage, red",Fresh,1.06,per pound,0.7791,0.3307,pounds,0.45,2013
"Cabbage, sauerkraut",Canned,1.26,per pound,0.65,0.3086,pounds,0.6,2013
"Carrots, cooked whole",Fresh,0.74,per pound,0.8158,0.3197,pounds,0.29,2013
"Carrots, raw whole",Fresh,0.74,per pound,0.89,0.2756,pounds,0.23,2013
"Carrots, baby",Fresh,1.45,per pound,1,0.2756,pounds,0.4,2013
Carrots,Canned,1.06,per pound,0.65,0.3197,pounds,0.52,2013
Carrots,Frozen,1.46,per pound,0.98,0.3197,pounds,0.48,2013
Cauliflower florets,Fresh,3.27,per pound,0.9702,0.2756,pounds,0.93,2013
Cauliflower heads,Fresh,1.23,per pound,0.8926,0.2756,pounds,0.38,2013
Cauliflower,Frozen,1.72,per pound,0.9304,0.2756,pounds,0.51,2013
"Celery, trimmed bunches",Fresh,1.11,per pound,0.73,0.2646,pounds,0.4,2013
Celery sticks,Fresh,2.2,per pound,1,0.2646,pounds,0.58,2013
Collard greens,Fresh,2.63,per pound,1.16,0.2866,pounds,0.65,2013
Collard greens,Canned,0.9,per pound,0.65,0.3638,pounds,0.51,2013
Collard greens,Frozen,1.48,per pound,0.8818,0.3638,pounds,0.61,2013
Corn,Fresh,2.69,per pound,0.54,0.3638,pounds,1.81,2013
Corn,Canned,0.9,per pound,0.65,0.3638,pounds,0.51,2013
Corn,Frozen,1.62,per pound,0.963,0.3638,pounds,0.61,2013
Cucumbers with peel,Fresh,1.3,per pound,0.97,0.2646,pounds,0.35,2013
Cucumbers without peel,Fresh,1.3,per pound,0.73,0.2646,pounds,0.47,2013
Great northern beans,Canned,0.92,per pound,0.65,0.3858,pounds,0.55,2013
Great northern beans,Dried,1.53,per pound,2.4692,0.3858,pounds,0.25,2013
Green beans,Fresh,2.14,per pound,0.8466,0.2756,pounds,0.7,2013
Green beans,Canned,0.83,per pound,0.65,0.2976,pounds,0.38,2013
Green beans,Frozen,1.67,per pound,0.903,0.2976,pounds,0.55,2013
Green peas,Canned,1.01,per pound,0.65,0.3527,pounds,0.55,2013
Green peas,Frozen,1.65,per pound,0.8924,0.3527,pounds,0.65,2013
Green peppers,Fresh,1.41,per pound,0.82,0.2646,pounds,0.46,2013
Kale,Fresh,2.81,per pound,1.05,0.2866,pounds,0.77,2013
Kale,Frozen,1.72,per pound,0.8995,0.3638,pounds,0.69,2013
Kidney beans,Canned,0.9,per pound,0.65,0.3858,pounds,0.54,2013
Kidney beans,Dried,1.67,per pound,2.4692,0.3858,pounds,0.27,2013
Lentils,Dried,1.39,per pound,2.4692,0.3858,pounds,0.2,2013
"Lettuce, iceberg",Fresh,1.21,per pound,0.95,0.2425,pounds,0.31,2013
"Lettuce, romaine, heads",Fresh,1.84,per pound,0.94,0.2094,pounds,0.41,2013
"Lettuce, romaine, hearts",Fresh,2.75,per pound,0.85,0.2094,pounds,0.68,2013
Lima beans,Canned,1.38,per pound,0.65,0.3748,pounds,0.8,2013
Lima beans,Frozen,1.84,per pound,1.097,0.3748,pounds,0.63,2013
Lima beans,Dried,1.73,per pound,2.5397,0.3858,pounds,0.27,2013
"Mixed vegetables, peas & carrots",Canned,1.31,per pound,0.65,0.3392,pounds,0.69,2013
"Mixed vegetables, peas & carrots",Frozen,1.39,per pound,0.99,0.302,pounds,0.42,2013
"Mixed vegetables, peas, corn, green beans",Frozen,1.11,per pound,0.65,0.334,pounds,0.64,2013
"Mixed vegetables, broccoli, cauliflower, carrots",Frozen,1.8,per pound,1,0.374,pounds,0.67,2013
"Mushrooms, whole",Fresh,3.41,per pound,0.97,0.1543,pounds,0.54,2013
"Mushrooms, sliced",Fresh,3.82,per pound,1,0.1543,pounds,0.59,2013
Mustard greens,Canned,0.98,per pound,0.65,0.3307,pounds,0.5,2013
Mustard greens,Frozen,1.46,per pound,0.7478,0.3307,pounds,0.64,2013
Navy beans,Canned,0.97,per pound,0.65,0.3858,pounds,0.58,2013
Navy beans,Dried,1.51,per pound,2.4692,0.3858,pounds,0.24,2013
Okra,Fresh,3.21,per pound,0.7695,0.3527,pounds,1.47,2013
Okra,Frozen,1.56,per pound,0.8995,0.3748,pounds,0.65,2013
Olives,Canned,4.19,per pound,1,0.2976,pounds,1.25,2013
Onions,Fresh,1.04,per pound,0.9,0.3527,pounds,0.41,2013
Pinto beans,Canned,0.87,per pound,0.65,0.3858,pounds,0.51,2013
Pinto beans,Dried,1.2,per pound,2.4692,0.3858,pounds,0.19,2013
Potatoes,Fresh,0.56,per pound,0.8113,0.2646,pounds,0.18,2013
"Potatoes, french fries",Frozen,1.18,per pound,0.776,0.3417,pounds,0.52,2013
Potatoes,Canned,0.97,per pound,0.65,0.3417,pounds,0.51,2013
Pumpkin,Canned,1.35,per pound,1,0.5401,pounds,0.73,2013
Radish,Fresh,1.31,per pound,0.9,0.2756,pounds,0.4,2013
Red peppers,Fresh,2.28,per pound,0.82,0.2646,pounds,0.73,2013
"Spinach, boiled",Fresh,3.83,per pound,0.77,0.3307,pounds,1.65,2013
"Spinach, eaten raw",Fresh,3.83,per pound,1,0.1543,pounds,0.59,2013
Spinach,Canned,1.15,per pound,0.65,0.3748,pounds,0.66,2013
Spinach,Frozen,1.9,per pound,0.776,0.3748,pounds,0.92,2013
Sweet potatoes,Fresh,0.92,per pound,0.811,0.4409,pounds,0.5,2013
"Tomatoes, grape & cherry",Fresh,3.29,per pound,0.91,0.3748,pounds,1.35,2013
"Tomatoes, roma & plum",Fresh,1.24,per pound,0.91,0.3748,pounds,0.51,2013
"Tomatoes, large round",Fresh,3.16,per pound,0.91,0.3748,pounds,1.3,2013
Tomatoes,Canned,0.92,per pound,1,0.5401,pounds,0.5,2013
Turnip greens,Fresh,2.47,per pound,0.75,0.3197,pounds,1.05,2013
Turnip greens,Canned,0.97,per pound,0.65,0.3527,pounds,0.52,2013
Turnip greens,Frozen,1.47,per pound,0.776,0.3527,pounds,0.67,2013