Fruit,Form,RetailPrice,RetailPriceUnit,Yield,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice,Year
Apples,Fresh,1.62,per pound,0.9,0.243,pounds,0.44,2016
"Apples, applesauce",Canned,1.05,per pound,1,0.54,pounds,0.57,2016
"Apples, ready-to-drink",Juice,0.63,per pint,1,8,fluid ounces,0.32,2016
"Apples, frozen concentrate",Juice,0.51,per pint,1,8,fluid ounces,0.26,2016
Apricots,Fresh,3.09,per pound,0.93,0.364,pounds,1.21,2016
"Apricots, packed in juice",Canned,1.47,per pound,1,0.54,pounds,0.8,2016
"Apricots, packed in syrup or water",Canned,1.86,per pound,0.65,0.441,pounds,1.26,2016
Apricots,Dried,7.33,per pound,1,0.143,pounds,1.05,2016
Bananas,Fresh,0.55,per pound,0.64,0.331,pounds,0.28,2016
"Berries, mixed",Frozen,3.64,per pound,1,0.331,pounds,1.2,2016
Blackberries,Fresh,5.66,per pound,0.96,0.32,pounds,1.89,2016
Blackberries,Frozen,3.69,per pound,1,0.331,pounds,1.22,2016
Blueberries,Fresh,4.39,per pound,0.95,0.32,pounds,1.48,2016
Blueberries,Frozen,3.47,per pound,1,0.331,pounds,1.15,2016
Cantaloupe,Fresh,0.52,per pound,0.51,0.375,pounds,0.38,2016
Cherries,Fresh,3.21,per pound,0.92,0.342,pounds,1.19,2016
"Cherries, packed in syrup or water",Canned,3.73,per pound,0.65,0.441,pounds,2.53,2016
Cranberries,Dried,4.69,per pound,1,0.123,pounds,0.58,2016
Dates,Dried,5.51,per pound,1,0.165,pounds,0.91,2016
Figs,Dried,6.13,per pound,0.96,0.165,pounds,1.06,2016
"Fruit cocktail, packed in juice",Canned,1.41,per pound,1,0.54,pounds,0.76,2016
"Fruit cocktail, packed in syrup or water",Canned,1.26,per pound,0.65,0.441,pounds,0.86,2016
Grapefruit,Fresh,1.01,per pound,0.49,0.463,pounds,0.95,2016
"Grapefruit, ready-to-drink",Juice,0.85,per pint,1,8,fluid ounces,0.42,2016
Grapes,Fresh,2.24,per pound,0.96,0.331,pounds,0.77,2016
Grapes (raisins),Dried,3.58,per pound,1,0.165,pounds,0.59,2016
"Grapes, ready-to-drink",Juice,0.85,per pint,1,8,fluid ounces,0.42,2016
"Grapes, frozen concentrate",Juice,0.74,per pint,1,8,fluid ounces,0.37,2016
Honeydew,Fresh,0.83,per pound,0.46,0.375,pounds,0.67,2016
Kiwi,Fresh,2.18,per pound,0.76,0.386,pounds,1.11,2016
Mangoes,Fresh,1.32,per pound,0.71,0.364,pounds,0.68,2016
Mangoes,Dried,10.16,per pound,1,0.125,pounds,1.27,2016
Nectarines,Fresh,1.88,per pound,0.91,0.32,pounds,0.66,2016
Oranges,Fresh,1.1,per pound,0.68,0.408,pounds,0.66,2016
"Oranges, ready-to-drink",Juice,0.85,per pint,1,8,fluid ounces,0.42,2016
"Oranges, frozen concentrate",Juice,0.66,per pint,1,8,fluid ounces,0.33,2016
Papaya,Fresh,1.29,per pound,0.62,0.309,pounds,0.64,2016
Papaya,Dried,5.27,per pound,1,0.154,pounds,0.81,2016
Peaches,Fresh,1.68,per pound,0.96,0.342,pounds,0.6,2016
"Peaches, packed in juice",Canned,1.88,per pound,1,0.54,pounds,1.02,2016
"Peaches, packed in syrup or water",Canned,1.59,per pound,0.65,0.441,pounds,1.08,2016
Peaches,Frozen,3.19,per pound,1,0.331,pounds,1.05,2016
Pears,Fresh,1.52,per pound,0.9,0.364,pounds,0.61,2016
"Pears, packed in juice",Canned,1.79,per pound,1,0.54,pounds,0.97,2016
"Pears, packed in syrup or water",Canned,1.57,per pound,0.65,0.441,pounds,1.07,2016
Pineapple,Fresh,0.65,per pound,0.51,0.364,pounds,0.47,2016
"Pineapple, packed in juice",Canned,1.28,per pound,1,0.54,pounds,0.69,2016
"Pineapple, packed in syrup or water",Canned,1.36,per pound,0.65,0.441,pounds,0.92,2016
Pineapple,Dried,5.87,per pound,1,0.154,pounds,0.91,2016
"Pineapple, ready-to-drink",Juice,0.97,per pint,1,8,fluid ounces,0.49,2016
"Pineapple, frozen concentrate",Juice,0.62,per pint,1,8,fluid ounces,0.31,2016
Plum,Fresh,1.99,per pound,0.94,0.364,pounds,0.77,2016
Plum (prunes),Dried,4.73,per pound,1,0.187,pounds,0.89,2016
"Plum (prune), ready-to-drink",Juice,1.45,per pint,1,8,fluid ounces,0.72,2016
Pomegranate,Fresh,2.08,per pound,0.56,0.342,pounds,1.27,2016
"Pomegranate, ready-to-drink",Juice,3.01,per pint,1,8,fluid ounces,1.51,2016
Raspberries,Fresh,6.88,per pound,0.96,0.32,pounds,2.29,2016
Raspberries,Frozen,4.76,per pound,1,0.331,pounds,1.58,2016
Strawberries,Fresh,2.51,per pound,0.94,0.32,pounds,0.85,2016
Strawberries,Frozen,2.61,per pound,1,0.331,pounds,0.86,2016
Watermelon,Fresh,0.32,per pound,0.52,0.331,pounds,0.2,2016